Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26255.0,27062.25,25939.08,1:2.56,3.07%,STRONG BULLISH,Higher High-Higher Low | Bull Run Continues,25859,26966,UPSIDE: 148 points,"FMCG holding support | ITC, HUL steady amid volatility",25859 - 26966
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,26245.2,27439.99,25848.95,1:3.02,4.55%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25931,26911,UPSIDE: 66 points,"Realty sector gaining traction | DLF, Oberoi up",25931 - 26911
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25920.4,25126.27,26309.51,1:2.04,3.06%,NEUTRAL,RSI Overbought | Consolidation Zone,25853,26892,DOWNSIDE: 125 points,FII flows remain positive | Foreign buying continues,25853 - 26892
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26354.6,25488.3,26701.1,1:2.5,3.29%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25971,26924,DOWNSIDE: 102 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25971 - 26924
2024-12-27,Friday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,26153.8,25130.12,26620.42,1:2.19,3.91%,BULLISH,Golden Cross | Resistance at 27000,25995,26980,DOWNSIDE: 196 points,Cement stocks stable | UltraTech holding ground,25995 - 26980
2024-12-30,Monday,December,9:00 AM - MARKET OPEN,India Today Business,SELL,25585.0,24560.82,25857.25,1:3.76,4.0%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25997,26842,DOWNSIDE: 125 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25997 - 26842
2024-12-31,Tuesday,December,9:00 AM - MARKET OPEN,India Today Business,BUY,25941.2,27097.92,25463.34,1:2.42,4.46%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25948,26977,UPSIDE: 117 points,"FMCG holding support | ITC, HUL steady amid volatility",25948 - 26977
2025-01-01,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25679.4,24564.64,26100.57,1:2.65,4.34%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25958,26925,DOWNSIDE: 172 points,Energy stocks leading | Oil majors positive on crude rally,25958 - 26925
2025-01-02,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25578.6,24442.1,25855.57,1:4.1,4.44%,STRONG BULLISH,RSI Overbought | Consolidation Zone,25912,26875,DOWNSIDE: 126 points,"Chemical sector focus | Atul, Bayer gains on exports",25912 - 26875
2025-01-03,Friday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26341.8,27394.63,25863.28,1:2.2,4.0%,NEUTRAL,Bearish Divergence | Profit Taking,25890,26967,UPSIDE: 195 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25890 - 26967
2025-01-06,Monday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26267.0,25055.8,26730.7,1:2.61,4.61%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25800,26829,DOWNSIDE: 57 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25800 - 26829
2025-01-07,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,25962.2,26540.85,25484.84,1:1.21,2.23%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25892,26988,UPSIDE: 108 points,Energy stocks leading | Oil majors positive on crude rally,25892 - 26988
2025-01-08,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25784.4,24728.2,26139.15,1:2.98,4.1%,BULLISH,Support Breach | Watch 25800,25909,26910,DOWNSIDE: 102 points,"Realty sector gaining traction | DLF, Oberoi up",25909 - 26910
2025-01-09,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26072.6,27343.87,25644.98,1:2.97,4.88%,NEUTRAL,Bullish Engulfing | Support at 26000,25887,26973,UPSIDE: 66 points,Q3 earnings season | Corporate profits robust,25887 - 26973
2025-01-10,Friday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26061.8,26661.41,25631.17,1:1.39,2.3%,NEUTRAL,Double Bottom | Reversal Expected,25932,26919,UPSIDE: 181 points,DII support strong | Domestic funds accumulating,25932 - 26919
2025-01-13,Monday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25832.0,24963.89,26095.71,1:3.29,3.36%,BULLISH,RSI Overbought | Consolidation Zone,25873,26910,DOWNSIDE: 183 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25873 - 26910
2025-01-14,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26010.2,26587.21,25528.04,1:1.2,2.22%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25972,26951,UPSIDE: 177 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25972 - 26951
2025-01-15,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,25724.4,26650.15,25220.27,1:1.84,3.6%,NEUTRAL/BULLISH,Moving Average Crossover | Trend Change,25996,26895,UPSIDE: 197 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25996 - 26895
2025-01-16,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25630.6,24656.13,25920.69,1:3.36,3.8%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25947,26804,DOWNSIDE: 160 points,Energy stocks leading | Oil majors positive on crude rally,25947 - 26804
2025-01-17,Friday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26449.8,27760.89,25939.5,1:2.57,4.96%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25958,26994,UPSIDE: 93 points,Q3 earnings season | Corporate profits robust,25958 - 26994
2025-01-20,Monday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26596.0,27616.96,26226.73,1:2.76,3.84%,BULLISH,Head & Shoulders | Downside Risk,25887,26859,UPSIDE: 108 points,Q3 earnings season | Corporate profits robust,25887 - 26859
2025-01-21,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26473.2,27097.59,26058.92,1:1.51,2.36%,BULLISH,Bollinger Bands Squeeze | Volatility Expected,25947,26824,UPSIDE: 159 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25947 - 26824
2025-01-22,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26367.4,27181.26,25865.94,1:1.62,3.09%,STRONG BULLISH,Support Breach | Watch 25800,25800,26995,UPSIDE: 108 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25800 - 26995
2025-01-23,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26346.6,26909.96,25946.16,1:1.41,2.14%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25874,26802,UPSIDE: 97 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25874 - 26802
2025-01-24,Friday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26496.8,25248.86,26763.19,1:4.68,4.71%,MODERATELY BULLISH,Bullish Engulfing | Support at 26000,25991,26934,DOWNSIDE: 175 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25991 - 26934
2025-01-27,Monday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26129.0,27424.75,25626.09,1:2.58,4.96%,MODERATELY BULLISH,Bollinger Bands Squeeze | Volatility Expected,25910,26846,UPSIDE: 115 points,Telecom strength | Bharti Airtel gains on tariff hikes,25910 - 26846
2025-01-28,Tuesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26612.2,27930.01,26266.67,1:3.81,4.95%,BULLISH,Higher High-Higher Low | Bull Run Continues,25939,26857,UPSIDE: 198 points,"Chemical sector focus | Atul, Bayer gains on exports",25939 - 26857
2025-01-29,Wednesday,January,9:00 AM - MARKET OPEN,India Today Business,BUY,26432.4,27517.59,26104.64,1:3.31,4.11%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25825,26834,UPSIDE: 132 points,Telecom strength | Bharti Airtel gains on tariff hikes,25825 - 26834
2025-01-30,Thursday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,26342.6,25123.37,26797.13,1:2.68,4.63%,NEUTRAL,Support Breach | Watch 25800,25836,26990,DOWNSIDE: 168 points,DII support strong | Domestic funds accumulating,25836 - 26990
2025-01-31,Friday,January,9:00 AM - MARKET OPEN,India Today Business,SELL,25644.8,24476.7,25976.46,1:3.52,4.55%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25960,26860,DOWNSIDE: 180 points,"FMCG holding support | ITC, HUL steady amid volatility",25960 - 26860
2025-02-03,Monday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26312.0,27075.96,25876.35,1:1.75,2.9%,BULLISH,Moving Average Crossover | Trend Change,25931,26844,UPSIDE: 122 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25931 - 26844
2025-02-04,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25891.2,27093.12,25475.89,1:2.89,4.64%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25977,26821,UPSIDE: 101 points,DII support strong | Domestic funds accumulating,25977 - 26821
2025-02-05,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26577.4,25837.53,27099.57,1:1.42,2.78%,NEUTRAL/BEARISH,RSI Overbought | Consolidation Zone,25808,26858,DOWNSIDE: 192 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25808 - 26858
2025-02-06,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26527.6,27637.38,26100.15,1:2.6,4.18%,NEUTRAL,RSI Overbought | Consolidation Zone,25831,26971,UPSIDE: 83 points,Telecom strength | Bharti Airtel gains on tariff hikes,25831 - 26971
2025-02-07,Friday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25953.8,26602.7,25644.56,1:2.1,2.5%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25856,26952,UPSIDE: 64 points,Energy stocks leading | Oil majors positive on crude rally,25856 - 26952
2025-02-10,Monday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26075.0,26678.27,25560.06,1:1.17,2.31%,BULLISH,Triangle Breakout | Directional Move,25868,26978,UPSIDE: 164 points,DII support strong | Domestic funds accumulating,25868 - 26978
2025-02-11,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26295.2,25515.51,26599.87,1:2.56,2.97%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25805,26894,DOWNSIDE: 189 points,Energy stocks leading | Oil majors positive on crude rally,25805 - 26894
2025-02-12,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26413.4,27651.45,26060.89,1:3.51,4.69%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25987,26851,UPSIDE: 95 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25987 - 26851
2025-02-13,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26539.6,27258.91,26030.05,1:1.41,2.71%,BULLISH,Higher High-Higher Low | Bull Run Continues,25911,26914,UPSIDE: 176 points,DII support strong | Domestic funds accumulating,25911 - 26914
2025-02-14,Friday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26290.8,25594.55,26601.32,1:2.24,2.65%,BULLISH,Higher High-Higher Low | Bull Run Continues,25889,26958,DOWNSIDE: 182 points,DII support strong | Domestic funds accumulating,25889 - 26958
2025-02-17,Monday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26444.0,25405.95,26906.93,1:2.24,3.93%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25863,26877,DOWNSIDE: 108 points,"FMCG holding support | ITC, HUL steady amid volatility",25863 - 26877
2025-02-18,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25711.2,26567.11,25332.0,1:2.26,3.33%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25850,26853,UPSIDE: 104 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25850 - 26853
2025-02-19,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26184.4,27094.22,25662.97,1:1.74,3.47%,NEUTRAL/BULLISH,Moving Average Crossover | Trend Change,25984,26847,UPSIDE: 179 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25984 - 26847
2025-02-20,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26671.6,27744.83,26148.29,1:2.05,4.02%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25981,26878,UPSIDE: 152 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25981 - 26878
2025-02-21,Friday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,25747.8,24826.39,26092.78,1:2.67,3.58%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25935,26933,DOWNSIDE: 151 points,Q3 earnings season | Corporate profits robust,25935 - 26933
2025-02-24,Monday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26548.0,25519.55,26971.67,1:2.43,3.87%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25893,26935,DOWNSIDE: 75 points,DII support strong | Domestic funds accumulating,25893 - 26935
2025-02-25,Tuesday,February,9:00 AM - MARKET OPEN,India Today Business,SELL,26010.2,24872.78,26407.89,1:2.86,4.37%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25927,26941,DOWNSIDE: 134 points,DII support strong | Domestic funds accumulating,25927 - 26941
2025-02-26,Wednesday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25922.4,26765.5,25597.52,1:2.6,3.25%,BULLISH,Higher High-Higher Low | Bull Run Continues,25895,26975,UPSIDE: 193 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25895 - 26975
2025-02-27,Thursday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,25882.6,27085.84,25601.44,1:4.28,4.65%,STRONG BULLISH,Bollinger Bands Squeeze | Volatility Expected,25893,26828,UPSIDE: 70 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25893 - 26828
2025-02-28,Friday,February,9:00 AM - MARKET OPEN,India Today Business,BUY,26148.8,26858.45,25883.97,1:2.68,2.71%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25954,26902,UPSIDE: 197 points,"Realty sector gaining traction | DLF, Oberoi up",25954 - 26902
2025-03-03,Monday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26526.0,27269.1,26147.96,1:1.97,2.8%,BULLISH,Moving Average Crossover | Trend Change,25807,26878,UPSIDE: 176 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25807 - 26878
2025-03-04,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,25932.2,25070.12,26421.37,1:1.76,3.32%,NEUTRAL,Head & Shoulders | Downside Risk,25888,26918,DOWNSIDE: 74 points,"Chemical sector focus | Atul, Bayer gains on exports",25888 - 26918
2025-03-05,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26481.4,27415.13,26161.63,1:2.92,3.53%,STRONG BULLISH,Head & Shoulders | Downside Risk,25884,26972,UPSIDE: 91 points,"FMCG holding support | ITC, HUL steady amid volatility",25884 - 26972
2025-03-06,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26200.6,25101.78,26710.11,1:2.16,4.19%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25886,26844,DOWNSIDE: 145 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25886 - 26844
2025-03-07,Friday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26354.8,27527.79,25865.86,1:2.4,4.45%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25969,26953,UPSIDE: 98 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25969 - 26953
2025-03-10,Monday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26215.0,27503.68,25861.29,1:3.64,4.92%,BULLISH,Breakout above 26500 | Momentum Building,25944,26830,UPSIDE: 154 points,FII flows remain positive | Foreign buying continues,25944 - 26830
2025-03-11,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26721.2,27849.2,26272.81,1:2.52,4.22%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25999,26843,UPSIDE: 159 points,FII flows remain positive | Foreign buying continues,25999 - 26843
2025-03-12,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26099.4,25217.2,26418.56,1:2.76,3.38%,BULLISH,Golden Cross | Resistance at 27000,25956,26887,DOWNSIDE: 70 points,"Chemical sector focus | Atul, Bayer gains on exports",25956 - 26887
2025-03-13,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,25786.6,26968.56,25389.41,1:2.98,4.58%,BULLISH,Bearish Divergence | Profit Taking,25820,26998,UPSIDE: 61 points,Q3 earnings season | Corporate profits robust,25820 - 26998
2025-03-14,Friday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26491.8,27483.66,26024.06,1:2.12,3.74%,NEUTRAL/BULLISH,Double Bottom | Reversal Expected,25862,26999,UPSIDE: 174 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25862 - 26999
2025-03-17,Monday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26296.0,25450.35,26707.11,1:2.06,3.22%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25932,26822,DOWNSIDE: 152 points,Cement stocks stable | UltraTech holding ground,25932 - 26822
2025-03-18,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,25895.2,26941.78,25624.93,1:3.87,4.04%,BULLISH,Double Bottom | Reversal Expected,25816,26971,UPSIDE: 85 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25816 - 26971
2025-03-19,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,25931.4,27183.08,25618.94,1:4.01,4.83%,MODERATELY BULLISH,Double Bottom | Reversal Expected,25925,26828,UPSIDE: 147 points,Q3 earnings season | Corporate profits robust,25925 - 26828
2025-03-20,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26084.6,26810.67,25813.32,1:2.68,2.78%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25900,26939,UPSIDE: 186 points,Q3 earnings season | Corporate profits robust,25900 - 26939
2025-03-21,Friday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,25766.8,27052.46,25327.63,1:2.93,4.99%,BULLISH,Triangle Breakout | Directional Move,25881,26916,UPSIDE: 102 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25881 - 26916
2025-03-24,Monday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26020.0,25006.2,26289.72,1:3.76,3.9%,STRONG BULLISH,Moving Average Crossover | Trend Change,25949,26949,DOWNSIDE: 112 points,FII flows remain positive | Foreign buying continues,25949 - 26949
2025-03-25,Tuesday,March,9:00 AM - MARKET OPEN,India Today Business,SELL,26525.2,25845.32,26884.39,1:1.89,2.56%,MODERATELY BULLISH,Triangle Breakout | Directional Move,25946,26937,DOWNSIDE: 81 points,"Chemical sector focus | Atul, Bayer gains on exports",25946 - 26937
2025-03-26,Wednesday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26025.4,26718.19,25577.34,1:1.55,2.66%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25974,26816,UPSIDE: 127 points,Energy stocks leading | Oil majors positive on crude rally,25974 - 26816
2025-03-27,Thursday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26142.6,27014.58,25666.52,1:1.83,3.34%,BULLISH,Support Breach | Watch 25800,25948,26962,UPSIDE: 180 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25948 - 26962
2025-03-28,Friday,March,9:00 AM - MARKET OPEN,India Today Business,BUY,26261.8,27334.41,25828.61,1:2.48,4.08%,BULLISH,Bearish Divergence | Profit Taking,25882,26863,UPSIDE: 105 points,Q3 earnings season | Corporate profits robust,25882 - 26863
2025-04-01,Tuesday,April,9:00 AM - MARKET OPEN,India Today Business,BUY,26535.0,27439.07,26209.81,1:2.78,3.41%,BULLISH,Head & Shoulders | Downside Risk,25975,26836,UPSIDE: 156 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25975 - 26836
2025-04-02,Wednesday,April,9:00 AM - MARKET OPEN,India Today Business,BUY,25903.2,26534.25,25616.57,1:2.2,2.44%,STRONG BULLISH,Support Breach | Watch 25800,25995,26804,UPSIDE: 106 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25995 - 26804
2025-04-03,Thursday,April,9:00 AM - MARKET OPEN,India Today Business,SELL,26464.4,25898.09,26801.79,1:1.68,2.14%,NEUTRAL,Head & Shoulders | Downside Risk,25847,26833,DOWNSIDE: 175 points,FII flows remain positive | Foreign buying continues,25847 - 26833
2025-04-04,Friday,April,9:00 AM - MARKET OPEN,India Today Business,SELL,26142.6,25312.17,26424.89,1:2.94,3.18%,NEUTRAL/BULLISH,Breakout above 26500 | Momentum Building,25899,26872,DOWNSIDE: 156 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25899 - 26872
2025-04-07,Monday,April,9:00 AM - MARKET OPEN,India Today Business,SELL,26467.8,25895.47,26826.77,1:1.59,2.16%,BULLISH,Head & Shoulders | Downside Risk,25838,26804,DOWNSIDE: 80 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25838 - 26804
2025-04-08,Tuesday,April,9:00 AM - MARKET OPEN,India Today Business,SELL,26783.0,26172.46,27284.7,1:1.22,2.28%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25966,26950,DOWNSIDE: 60 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25966 - 26950
2025-04-09,Wednesday,April,9:00 AM - MARKET OPEN,India Today Business,BUY,26271.2,27402.16,25887.25,1:2.95,4.3%,NEUTRAL,Higher High-Higher Low | Bull Run Continues,25818,26892,UPSIDE: 65 points,Energy stocks leading | Oil majors positive on crude rally,25818 - 26892
2025-04-10,Thursday,April,9:00 AM - MARKET OPEN,India Today Business,BUY,25836.4,26607.77,25387.73,1:1.72,2.99%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25860,26947,UPSIDE: 165 points,Q3 earnings season | Corporate profits robust,25860 - 26947
2025-04-14,Monday,April,9:00 AM - MARKET OPEN,India Today Business,SELL,26629.6,25909.33,26943.71,1:2.29,2.7%,NEUTRAL/BULLISH,Bollinger Bands Squeeze | Volatility Expected,25972,26942,DOWNSIDE: 124 points,"FMCG holding support | ITC, HUL steady amid volatility",25972 - 26942
2025-04-15,Tuesday,April,9:00 AM - MARKET OPEN,India Today Business,BUY,26364.8,26909.88,25973.3,1:1.39,2.07%,NEUTRAL/BULLISH,Support Breach | Watch 25800,25845,26812,UPSIDE: 108 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25845 - 26812
